Supplementary Data VII. Full ancient genomes dataset																					
Sample details for all ancient genomes imputed and analysed in this study, including published data (publication source in column 'Data source')																					
																					
Age (upper), Age (lower), Age average, Dating: radiocarbon date ranges (upper and lower bounds) for 95%CI and mean; dating source (direct date or context)																					
Y haplogroup major & Y haplogroup derived: Y-chromosomal haplogroup - major clade and derived subclade (where relevant) 																					
Coverage: Autosomal genome gepth of coverage (x)																					
Average GP: average genotype probability for called and imputed genotypes																					
Flag: flags used to mark samples in analyses (low coverage; low GP; close relationship to other sample; 0=no flag - see Methods)																					
IBD clustering: labels used for IBD clustering analysis (see Supplementary Note 3f)																					
																		IBD clustering			
Individual ID	Site	Country	Region	Group label	Latitude	Longitude	Data source	Age (upper)	Age (lower)	Age average	Dating	Sex	Y haplogroup (major)	Y haplogroup (derived)	Coverage	Average GP	Flag	Cluster ID	Cluster fine	Cluster global	Cluster group
RISE601	Verh-Uimon	Russia	NorthAsia	Siberia_IronAge	50.21	85.73	Allentoft_Nature_2015	2,950	1,950	2,450	context	XY	Q1a	Q1a2	1.10	0.994	0	3.1.1.2.3.2	SteppeC_TianShan_2700BP_800BP	Asia_45000BP_200BP	Nomad_Steppe_lateA
RISE504	Kytmanovo	Russia	NorthAsia	Siberia_Medieval	53.46	85.45	Allentoft_Nature_2015	1,229	1,061	1,145	direct	XY	J2a	J2a	1.29	0.996	0	3.1.1.2.1.1.1.2	SteppeC_TianShan_2700BP_800BP	Asia_45000BP_200BP	Nomad_Steppe_lateA
SZ11	Szólád	Hungary	CentralEasternEurope	Hungary_Medieval_Langobard	46.28	17.85	Amorim_NatureCommunications_2018	1,538	1,346	1,442	context	XY	R1b	R1b1a1b1a1a1c2b2b1a1a	9.03	0.998	0	1.1.1.4.2.3	Europe_1400BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
SZ15	Szólád	Hungary	CentralEasternEurope	Hungary_Medieval_Langobard	46.28	17.85	Amorim_NatureCommunications_2018	1,538	1,346	1,442	context	XY	R1a	R1a1a1b1a3a1	10.57	0.999	0	1.1.1.4.2.1	Europe_1400BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
SZ2	Szólád	Hungary	CentralEasternEurope	Hungary_Medieval_Langobard	46.28	17.85	Amorim_NatureCommunications_2018	1,538	1,346	1,442	context	XY	R1b	R1b1a1b1a1a1c2b2a1b1a	6.15	0.998	0	1.1.1.2.1.2.1	EuropeN_1500BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
SZ3	Szólád	Hungary	CentralEasternEurope	Hungary_Medieval_Langobard	46.28	17.85	Amorim_NatureCommunications_2018	1,538	1,346	1,442	context	XY	I2a	I2a1b1a2b	10.60	0.998	0	1.1.1.4.2.4	Europe_1400BP_800BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
SZ36	Szólád	Hungary	CentralEasternEurope	Hungary_Medieval_Langobard	46.28	17.85	Amorim_NatureCommunications_2018	1,538	1,346	1,442	context	XY	T1a	T1a1a1b2	5.47	0.998	0	2.1.2.1.1.3.1.2	Europe_3000BP_300BP	EuropeWCAsia_25000BP_300BP	PostNeol_Levant_MedE
SZ4	Szólád	Hungary	CentralEasternEurope	Hungary_Medieval_Langobard	46.28	17.85	Amorim_NatureCommunications_2018	1,538	1,346	1,442	context	XY	R1b	R1b1a1b1a1a1b	10.40	0.998	0	1.1.1.3.1.1.1.3	Europe_1600BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
SZ45	Szólád	Hungary	CentralEasternEurope	Hungary_Medieval_Langobard	46.28	17.85	Amorim_NatureCommunications_2018	1,538	1,346	1,442	context	XY	I1a	I1a1	10.41	0.998	0	1.1.1.3.1.1.1.4	Europe_1600BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
SZ5	Szólád	Hungary	CentralEasternEurope	Hungary_Medieval_Langobard	46.28	17.85	Amorim_NatureCommunications_2018	1,538	1,346	1,442	context	XY	R1b	R1b1a1b1a1	5.91	0.998	0	1.3.1.2.1.1	EuropeNE_2600BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeE
